case,scenario,branch_id,from_bus,to_bus,closed,available,P_MW,Q_Mvar
ieee69,0,51,51,52,1,1,0.003599999999996939,0.0027000000000043656
ieee69,0,52,9,53,1,1,0.05469999999999864,0.03969999999999807
ieee69,0,53,53,54,1,1,0.050400000000001555,0.036199999999997345
ieee69,0,54,54,55,1,1,0.023999999999997357,0.017199999999997218
ieee69,0,55,55,56,1,1,0.0,0.0
ieee69,0,56,56,57,1,1,0.0,0.0
ieee69,0,57,57,58,1,1,0.0,0.0
ieee69,0,58,58,59,0,1,0.0,0.0
ieee69,0,59,59,60,1,1,0.9612188125000021,0.8879999999999999
ieee69,0,60,60,61,1,1,0.9612188125000021,0.8879999999999999
ieee69,0,61,61,62,0,1,0.0,0.0
ieee69,0,62,62,63,1,1,-0.031999999999996476,-0.022999999999999687
ieee69,0,63,63,64,1,1,-0.031999999999996476,-0.022999999999999687
ieee69,0,64,64,65,1,1,-0.25900000000000034,-0.18500000000000405
ieee69,0,65,11,66,1,1,0.035999999999996035,0.026000000000001577
ieee69,0,66,66,67,1,1,0.01800000000000246,0.012999999999996348
ieee69,0,67,12,68,1,1,0.056000000000002714,0.039999999999995595
ieee69,0,68,68,69,1,1,0.027999999999996916,0.019999999999997797
ieee69,0,69,11,43,1,1,-0.2213379999999976,-0.7371000000000016
ieee69,0,70,13,21,1,1,0.22240037499999588,0.3514999999999979
ieee69,0,71,15,46,0,1,0.0,0.0
ieee69,0,72,50,59,1,1,1.0612188125,0.9600000000000009
ieee69,0,73,27,65,1,1,0.31799999999999606,0.22700000000000387
ieee69,1,1,1,2,1,1,2.8985095624881207,2.5344715414848906
ieee69,1,2,2,3,1,1,2.8985095624881207,2.5344715414848906
ieee69,1,3,3,4,1,1,2.1768696529233633,1.799711105418984
ieee69,1,4,4,5,1,1,0.3039015169038439,0.21885775180229494
ieee69,1,5,5,6,1,1,0.3039015169038439,0.21885775180229494
ieee69,1,6,6,7,1,1,0.30102617504084606,0.21642477022592033
ieee69,1,7,7,8,1,1,0.2563477860928298,0.18324774872986005
ieee69,1,8,8,9,1,1,0.12463501075350436,0.0892461878243811
ieee69,1,9,9,10,1,1,0.030965220062979526,0.021012113614169436
ieee69,1,10,10,11,0,1,0.0,0.0
ieee69,1,11,11,12,1,1,0.3543830999962694,0.37611683369358495
ieee69,1,12,12,13,1,1,0.13209705597271082,0.2168671305125347
ieee69,1,13,13,14,1,1,0.05362336635914566,0.11733606602437163
ieee69,1,14,14,15,1,1,0.04477616062686707,0.11125361208343065
ieee69,1,15,15,16,1,1,0.04477616062686707,0.11125361208343065
ieee69,1,16,16,17,1,1,-0.005542321975484654,0.07807659058737926
ieee69,1,17,17,18,1,1,-0.07189636496758744,0.03937006550865263
ieee69,1,18,18,19,1,1,0.0011059007165314938,0.0006635404299171199
ieee69,1,19,19,20,1,1,0.0011059007165314938,0.0006635404299171199
ieee69,1,20,20,21,0,1,0.0,0.0
ieee69,1,21,21,22,1,1,0.005861273797638233,0.00387065250786911
ieee69,1,22,22,23,1,0,0.0,0.0
ieee69,1,23,23,24,1,1,0.0,0.0
ieee69,1,24,24,25,1,1,0.0,0.0
ieee69,1,25,25,26,1,1,0.0,0.0
ieee69,1,26,26,27,1,1,0.0,0.0
ieee69,1,27,3,28,1,1,0.10118991556296031,0.07210472671808965
ieee69,1,28,28,29,1,1,0.07243649693304377,0.05153497339053459
ieee69,1,29,29,30,1,1,0.043683078303136114,0.030965220062979526
ieee69,1,30,30,31,1,1,0.043683078303136114,0.030965220062979526
ieee69,1,31,31,32,1,1,0.043683078303136114,0.030965220062979526
ieee69,1,32,32,33,1,1,0.043683078303136114,0.030965220062979526
ieee69,1,33,33,34,1,1,0.02820046827164191,0.01990621289762906
ieee69,1,34,34,35,1,1,0.006635404299206726,0.004423602866143739
ieee69,1,35,3,36,1,1,0.620449994001806,0.6626557093478258
ieee69,1,36,36,37,1,1,0.5916965753718895,0.6420859560202707
ieee69,1,37,37,38,1,1,0.5629431567419818,0.6215162026927157
ieee69,1,38,38,39,1,1,0.5629431567419818,0.6215162026927157
ieee69,1,39,39,40,1,1,0.5364015395451371,0.6027158905116181
ieee69,1,40,40,41,1,1,0.5098599223482925,0.5839155783305294
ieee69,1,41,41,42,1,1,0.5085328414884493,0.582809677613989
ieee69,1,42,42,43,1,1,0.5085328414884493,0.582809677613989
ieee69,1,43,43,44,1,1,0.08670261617635511,0.058170377689741315
ieee69,1,44,44,45,1,1,0.08670261617635511,0.058170377689741315
ieee69,1,45,45,46,1,1,0.04335130808817311,0.029085188844870657
ieee69,1,46,4,47,1,1,1.8729681360195194,1.580853353616689
ieee69,1,47,47,48,1,1,1.8729681360195194,1.580853353616689
ieee69,1,48,48,49,1,1,1.7856019794132472,1.5184805532041157
ieee69,1,49,49,50,1,1,1.49951828243843,1.2149108065152348
ieee69,1,50,8,51,1,1,0.04877022159919697,0.03428292221259177
ieee69,1,51,51,52,1,1,0.003981242579529365,0.0029859319346403623
ieee69,1,52,9,53,1,1,0.06049276919447344,0.04390425844643886
ieee69,1,53,53,54,1,1,0.0557373961133667,0.04003360593856975
ieee69,1,54,54,55,1,1,0.02654161719684467,0.019021492324400313
ieee69,1,55,55,56,1,1,0.0,0.0
ieee69,1,56,56,57,1,1,0.0,0.0
ieee69,1,57,57,58,1,1,0.0,0.0
ieee69,1,58,58,59,0,1,0.0,0.0
ieee69,1,59,59,60,1,1,1.0257956767352194,0.8317162082358198
ieee69,1,60,60,61,1,1,1.0257956767352194,0.8317162082358198
ieee69,1,61,61,62,0,1,0.0,0.0
ieee69,1,62,62,63,1,1,0.0,0.0
ieee69,1,63,63,64,1,1,0.0,0.0
ieee69,1,64,64,65,1,1,0.0,0.0
ieee69,1,65,11,66,1,1,0.039812425795267004,0.02875341862991654
ieee69,1,66,66,67,1,1,0.01990621289762906,0.014376709314953828
ieee69,1,67,12,68,1,1,0.061930440125967934,0.04423602866140186
ieee69,1,68,68,69,1,1,0.030965220062979526,0.02211801433070093
ieee69,1,69,11,43,1,1,-0.4151948210128875,-0.519883926843141
ieee69,1,70,13,21,1,1,0.06962648388128656,0.0934486105472132
ieee69,1,71,15,46,0,1,0.0,0.0
ieee69,1,72,50,59,1,1,1.136385748388733,0.911341059826345
ieee69,1,73,27,65,1,1,0.0,0.0
ieee69,2,1,1,2,1,1,2.371596011687185,1.9420760247695323
ieee69,2,2,2,3,1,1,2.371596011687185,1.9420760247695323
ieee69,2,3,3,4,1,1,2.208197850294207,1.825476918660538
ieee69,2,4,4,5,1,1,0.312904632409694,0.22534143651338212
ieee69,2,5,5,6,1,1,0.312904632409694,0.22534143651338212
ieee69,2,6,6,7,1,1,0.3099441082311394,0.22283637759307418
ieee69,2,7,7,8,1,1,0.26394211714907634,0.18867648322520303
ieee69,2,8,8,9,1,1,0.12832733650863126,0.09189011584957107
ieee69,2,9,9,10,1,1,0.031882568076682105,0.021634599766313656
ieee69,2,10,10,11,0,1,0.0,0.0
ieee69,2,11,11,12,1,1,0.0,0.0
ieee69,2,12,12,13,1,1,0.0,0.0
ieee69,2,13,13,14,1,1,0.0,0.0
ieee69,2,14,14,15,1,1,0.0,0.0
ieee69,2,15,15,16,1,1,0.0,0.0
ieee69,2,16,16,17,1,1,0.0,0.0
ieee69,2,17,17,18,1,1,0.0,0.0
ieee69,2,18,18,19,1,1,0.0,0.0
ieee69,2,19,19,20,1,1,0.0,0.0
ieee69,2,20,20,21,0,1,0.0,0.0
ieee69,2,21,21,22,1,1,0.0,0.0
ieee69,2,22,22,23,1,1,0.0,0.0
ieee69,2,23,23,24,1,1,0.0,0.0
ieee69,2,24,24,25,1,1,0.0,0.0
ieee69,2,25,25,26,1,1,0.0,0.0
ieee69,2,26,26,27,1,1,0.0,0.0
ieee69,2,27,3,28,1,1,0.10418767782200078,0.0742408370928338
ieee69,2,28,28,29,1,1,0.0745824360365166,0.05306170258475795
ieee69,2,29,29,30,1,1,0.044977194251032415,0.031882568076682105
ieee69,2,30,30,31,1,1,0.044977194251032415,0.031882568076682105
ieee69,2,31,31,32,1,1,0.044977194251032415,0.031882568076682105
ieee69,2,32,32,33,1,1,0.044977194251032415,0.031882568076682105
ieee69,2,33,33,34,1,1,0.029035910212691363,0.020495936620719135
ieee69,2,34,34,35,1,1,0.006831978873576006,0.004554652582386964
ieee69,2,35,3,36,1,1,0.059210483570977246,0.04235826901616058
ieee69,2,36,36,37,1,1,0.029605241785484182,0.021179134508075848
ieee69,2,37,37,38,1,0,0.0,0.0
ieee69,2,38,38,39,1,1,0.0,0.0
ieee69,2,39,39,40,1,1,0.0,0.0
ieee69,2,40,40,41,1,1,0.0,0.0
ieee69,2,41,41,42,1,1,0.0,0.0
ieee69,2,42,42,43,1,1,0.0,0.0
ieee69,2,43,43,44,1,1,0.0,0.0
ieee69,2,44,44,45,1,1,0.0,0.0
ieee69,2,45,45,46,1,1,0.0,0.0
ieee69,2,46,4,47,1,1,1.8952932178845217,1.6001354821471558
ieee69,2,47,47,48,1,1,1.8952932178845217,1.6001354821471558
ieee69,2,48,48,49,1,1,1.8053388293824568,1.5359148807355627
ieee69,2,49,49,50,1,1,1.5127925274737297,1.2233518472695515
ieee69,2,50,8,51,1,1,0.05021504472076721,0.03529855751346567
ieee69,2,51,51,52,1,1,0.004099187324140274,0.0030743904931096466
ieee69,2,52,9,53,1,1,0.06228487406408689,0.04520492688015132
ieee69,2,53,53,54,1,1,0.05738862253802601,0.041219605870566056
ieee69,2,54,54,55,1,1,0.02732791549429514,0.01958500610424352
ieee69,2,55,55,56,1,1,0.0,0.0
ieee69,2,56,56,57,1,1,0.0,0.0
ieee69,2,57,57,58,1,1,0.0,0.0
ieee69,2,58,58,59,0,1,0.0,0.0
ieee69,2,59,59,60,1,1,1.0155763552787977,0.828805067320646
ieee69,2,60,60,61,1,1,1.0155763552787977,0.828805067320646
ieee69,2,61,61,62,0,1,0.0,0.0
ieee69,2,62,62,63,1,1,0.0,0.0
ieee69,2,63,63,64,1,1,0.0,0.0
ieee69,2,64,64,65,1,1,0.0,0.0
ieee69,2,65,11,66,1,1,0.0,0.0
ieee69,2,66,66,67,1,1,0.0,0.0
ieee69,2,67,12,68,1,1,0.0,0.0
ieee69,2,68,68,69,1,1,0.0,0.0
ieee69,2,69,11,43,1,1,0.0,0.0
ieee69,2,70,13,21,1,1,0.0,0.0
ieee69,2,71,15,46,0,1,0.0,0.0
ieee69,2,72,50,59,1,1,1.1294426698383653,0.9107888138035314
ieee69,2,73,27,65,1,1,0.0,0.0
ieee69,3,1,1,2,1,1,2.612676679279513,2.4451900078061506
ieee69,3,2,2,3,1,1,2.612676679279513,2.4451900078061506
ieee69,3,3,3,4,1,1,1.820066889355667,1.600031001879465
ieee69,3,4,4,5,1,1,0.24935548081238323,0.17957587209887826
ieee69,3,5,5,6,1,1,0.24935548081238323,0.17957587209887826
ieee69,3,6,6,7,1,1,0.24699622226029838,0.1775795764009569
ieee69,3,7,7,8,1,1,0.21033697398948448,0.15035736233847352
ieee69,3,8,8,9,1,1,0.10226478416140772,0.07322775582808916
ieee69,3,9,9,10,1,1,0.02540739979165707,0.017240735572912058
ieee69,3,10,10,11,0,1,0.0,0.0
ieee69,3,11,11,12,1,1,0.5470847280554292,0.5508868719112048
ieee69,3,12,12,13,1,1,0.36469589383676393,0.4202202444112668
ieee69,3,13,13,14,1,1,-0.011815601735625236,0.09627589706766138
ieee69,3,14,14,15,1,1,-0.019074858818948215,0.09128515782287572
ieee69,3,15,15,16,1,1,-0.019074858818948215,0.09128515782287572
ieee69,3,16,16,17,1,1,-0.060361883480393175,0.06406294376038346
ieee69,3,17,17,18,1,1,-0.1148063116053688,0.032303694020816565
ieee69,3,18,18,19,1,1,0.0009074071354131519,0.0005444442812496675
ieee69,3,19,19,20,1,1,0.0009074071354131519,0.0005444442812496675
ieee69,3,20,20,21,0,1,0.0,0.0
ieee69,3,21,21,22,1,1,0.3441795264633818,0.2454536301300969
ieee69,3,22,22,23,1,1,0.33937026864567343,0.24227770515613756
ieee69,3,23,23,24,1,1,0.33937026864567343,0.24227770515613756
ieee69,3,24,24,25,1,1,0.31396286885401636,0.22412956244781235
ieee69,3,25,25,26,1,1,0.31396286885401636,0.22412956244781235
ieee69,3,26,26,27,1,1,0.3012591689581967,0.21505549109365418
ieee69,3,27,3,28,1,1,0.08302775289058317,0.059162945229136454
ieee69,3,28,28,29,1,1,0.05943516736976129,0.04228517251039676
ieee69,3,29,29,30,1,1,0.0358425818489394,0.02540739979165707
ieee69,3,30,30,31,1,1,0.0358425818489394,0.02540739979165707
ieee69,3,31,31,32,1,1,0.0358425818489394,0.02540739979165707
ieee69,3,32,32,33,1,1,0.0358425818489394,0.02540739979165707
ieee69,3,33,33,34,1,1,0.023138881953110868,0.016333328437490024
ieee69,3,34,34,35,1,1,0.005444442812496675,0.0036296285416614893
ieee69,3,35,3,36,1,1,0.7095820370332628,0.7859960606975491
ieee69,3,36,36,37,1,1,0.685989451512441,0.7691182879788094
ieee69,3,37,37,38,1,1,0.6623968659916191,0.7522405152600697
ieee69,3,38,38,39,1,1,0.6623968659916191,0.7522405152600697
ieee69,3,39,39,40,1,1,0.6406190947416324,0.7368145939579929
ieee69,3,40,40,41,1,1,0.6188413234916368,0.721388672655916
ieee69,3,41,41,42,1,1,0.6177524349291375,0.720481265520494
ieee69,3,42,42,43,1,1,0.6177524349291375,0.720481265520494
ieee69,3,43,43,44,1,1,0.07114071941662914,0.04772961532289344
ieee69,3,44,44,45,1,1,0.07114071941662914,0.04772961532289344
ieee69,3,45,45,46,1,1,0.03557035970831457,0.02386480766144672
ieee69,3,46,4,47,1,1,1.5707114085432838,1.4204551297805867
ieee69,3,47,47,48,1,1,1.5707114085432838,1.4204551297805867
ieee69,3,48,48,49,1,1,1.4990262448453961,1.3692773673431091
ieee69,3,49,49,50,1,1,1.320104866716525,1.1201941086713507
ieee69,3,50,8,51,1,1,0.04001665467185944,0.028129621197905408
ieee69,3,51,51,52,1,1,0.003266665687498005,0.0024499992656235037
ieee69,3,52,9,53,1,1,0.04963517030726727,0.036024063276025586
ieee69,3,53,53,54,1,1,0.04573331962498095,0.03284813830206623
ieee69,3,54,54,55,1,1,0.0217777712499867,0.015607402729163056
ieee69,3,55,55,56,1,1,0.0,0.0
ieee69,3,56,56,57,1,1,0.0,0.0
ieee69,3,57,57,58,1,0,0.0,0.0
ieee69,3,58,58,59,0,1,0.0,0.0
ieee69,3,59,59,60,1,1,0.9586563295920492,0.8057775362496233
ieee69,3,60,60,61,1,1,0.9586563295920492,0.8057775362496233
ieee69,3,61,61,62,0,1,0.0,0.0
ieee69,3,62,62,63,1,1,-0.02903702833331856,-0.020870364114573547
ieee69,3,63,63,64,1,1,-0.02903702833331856,-0.020870364114573547
ieee69,3,64,64,65,1,1,-0.2350184480728057,-0.16787032005200153
ieee69,3,65,11,66,1,1,0.03266665687498893,0.023592585520821885
ieee69,3,66,66,67,1,1,0.016333328437490024,0.011796292760415383
ieee69,3,67,12,68,1,1,0.05081479958330526,0.03629628541665042
ieee69,3,68,68,69,1,1,0.02540739979165707,0.01814814270832521
ieee69,3,69,11,43,1,1,-0.5411672727000116,-0.6688497995153142
ieee69,3,70,13,21,1,1,0.3692522384890484,0.3189536080988109
ieee69,3,71,15,46,0,1,0.0,0.0
ieee69,3,72,50,59,1,1,1.0493970431336752,0.8711108499995923
ieee69,3,73,27,65,1,1,0.2885554690623682,0.20598141973948714
ieee69,4,1,1,2,1,1,2.223269673066701,2.3261899004978304
ieee69,4,2,2,3,1,1,2.223269673066701,2.3261899004978304
ieee69,4,3,3,4,1,1,1.814091536681639,1.6757652700689718
ieee69,4,4,4,5,1,1,0.26115822390685217,0.18807573694020085
ieee69,4,5,5,6,1,1,0.26115822390685217,0.18807573694020085
ieee69,4,6,6,7,1,1,0.25868729456857587,0.18598495057704056
ieee69,4,7,7,8,1,1,0.22029285408154742,0.15747422744310846
ieee69,4,8,8,9,1,1,0.10710528323982338,0.07669384523028455
ieee69,4,9,9,10,1,1,0.026610008258343143,0.018056791318157295
ieee69,4,10,10,11,0,1,0.0,0.0
ieee69,4,11,11,12,1,1,0.19807359725152018,0.34222371335101087
ieee69,4,12,12,13,1,1,0.007051752254145782,0.20537224230811724
ieee69,4,13,13,14,1,1,-0.0584168302259247,0.10083292415035139
ieee69,4,14,14,15,1,1,-0.06601968972830718,0.09560595824246398
ieee69,4,15,15,16,1,1,-0.06601968972830718,0.09560595824246398
ieee69,4,16,16,17,1,1,-0.1092609531481159,0.06709523510853188
ieee69,4,17,17,18,1,1,-0.166282399415989,0.03383272478560073
ieee69,4,18,18,19,1,1,0.0009503574377944801,0.0005702144626784644
ieee69,4,19,19,20,1,1,0.0009503574377944801,0.0005702144626784644
ieee69,4,20,20,21,0,1,0.0,0.0
ieee69,4,21,21,22,1,1,0.0316469026786681,0.02233339978825022
ieee69,4,22,22,23,1,1,0.026610008258343143,0.019007148755960657
ieee69,4,23,23,24,1,1,0.026610008258343143,0.019007148755960657
ieee69,4,24,24,25,1,0,0.0,0.0
ieee69,4,25,25,26,1,1,0.0,0.0
ieee69,4,26,26,27,1,1,0.0,0.0
ieee69,4,27,3,28,1,1,0.0869577055585058,0.06196330494441682
ieee69,4,28,28,29,1,1,0.06224841217576049,0.04428665660138442
ieee69,4,29,29,30,1,1,0.03753911879301519,0.026610008258343143
ieee69,4,30,30,31,1,1,0.03753911879301519,0.026610008258343143
ieee69,4,31,31,32,1,1,0.03753911879301519,0.026610008258343143
ieee69,4,32,32,33,1,1,0.03753911879301519,0.026610008258343143
ieee69,4,33,33,34,1,1,0.02423411466384806,0.017106433880362815
ieee69,4,34,34,35,1,1,0.005702144626784644,0.003801429751195684
ieee69,4,35,3,36,1,1,0.3222204308265564,0.5884613254844329
ieee69,4,36,36,37,1,1,0.2975111374438111,0.5707846771413916
ieee69,4,37,37,38,1,1,0.2728018440610658,0.5531080287983592
ieee69,4,38,38,39,1,1,0.2728018440610658,0.5531080287983592
ieee69,4,39,39,40,1,1,0.24999326555391832,0.5369519523557909
ieee69,4,40,40,41,1,1,0.22718468704677086,0.5207958759132314
ieee69,4,41,41,42,1,1,0.22604425812141393,0.519845518475428
ieee69,4,42,42,43,1,1,0.22604425812141393,0.519845518475428
ieee69,4,43,43,44,1,1,0.07450802312335192,0.049988801228169066
ieee69,4,44,44,45,1,1,0.07450802312335192,0.049988801228169066
ieee69,4,45,45,46,1,1,0.0372540115616804,0.024994400614080092
ieee69,4,46,4,47,1,1,1.5529333127747869,1.487689533128771
ieee69,4,47,47,48,1,1,1.5529333127747869,1.487689533128771
ieee69,4,48,48,49,1,1,1.4778550751887565,1.4340893736369775
ieee69,4,49,49,50,1,1,1.3365067719895762,1.1732162569614601
ieee69,4,50,8,51,1,1,0.04191076300688934,0.029461080571735465
ieee69,4,51,51,52,1,1,0.0034212867760707866,0.002565965082057531
ieee69,4,52,9,53,1,1,0.05198455184753925,0.03772919028057764
ieee69,4,53,53,54,1,1,0.047898014865008776,0.034402939248279196
ieee69,4,54,54,55,1,1,0.02280857850714746,0.0163461479301219
ieee69,4,55,55,56,1,1,0.0,0.0
ieee69,4,56,56,57,1,1,0.0,0.0
ieee69,4,57,57,58,1,1,0.0,0.0
ieee69,4,58,58,59,0,1,0.0,0.0
ieee69,4,59,59,60,1,1,0.9579904494988867,0.8439174047645004
ieee69,4,60,60,61,1,1,0.9579904494988867,0.8439174047645004
ieee69,4,61,61,62,0,1,0.0,0.0
ieee69,4,62,62,63,1,1,0.0,0.0
ieee69,4,63,63,64,1,1,0.0,0.0
ieee69,4,64,64,65,1,1,0.0,0.0
ieee69,4,65,11,66,1,1,0.03421286776072563,0.0247092933827453
ieee69,4,66,66,67,1,1,0.017106433880362815,0.01235464669137265
ieee69,4,67,12,68,1,1,0.053220016516677404,0.03801429751191243
ieee69,4,68,68,69,1,1,0.026610008258343143,0.019007148755960657
ieee69,4,69,11,43,1,1,-0.14583409037127737,-0.4657701802647285
ieee69,4,70,13,21,1,1,0.057865722977687994,0.09931235224987844
ieee69,4,71,15,46,0,1,0.0,0.0
ieee69,4,72,50,59,1,1,1.0530261932786722,0.9123431402859516
ieee69,4,73,27,65,1,1,0.0,0.0
ieee69,5,1,1,2,1,1,2.144817216598378,1.7336357327495566
ieee69,5,2,2,3,1,1,2.144817216598378,1.7336357327495566
ieee69,5,3,3,4,1,1,1.0362543293895854,0.8399022288568592
ieee69,5,4,4,5,1,1,0.2636868873413256,0.18989677949362793
ieee69,5,5,5,6,1,1,0.2636868873413256,0.18989677949362793
ieee69,5,6,6,7,1,1,0.26119203323984763,0.18778574910006895
ieee69,5,7,7,8,1,1,0.22242583873988586,0.15899897100603688
ieee69,5,8,8,9,1,1,0.10814232970657756,0.07743643307294157
ieee69,5,9,9,10,1,1,0.026867659554428158,0.018231626126219425
ieee69,5,10,10,11,0,1,0.0,0.0
ieee69,5,11,11,12,1,1,0.7038629983305,0.5825484326962194
ieee69,5,12,12,13,1,1,0.5109915851004931,0.44437189784487074
ieee69,5,13,13,14,1,1,0.13256887996271338,0.10180923852589174
ieee69,5,14,14,15,1,1,0.12489240580429772,0.09653166254198986
ieee69,5,15,15,16,1,1,0.12489240580429772,0.09653166254198986
ieee69,5,16,16,17,1,1,0.08123245902835308,0.06774488444795779
ieee69,5,17,17,18,1,1,0.02365890284028893,0.03416031000491593
ieee69,5,18,18,19,1,1,0.0009595592698019573,0.0005757355618829507
ieee69,5,19,19,20,1,1,0.0009595592698019573,0.0005757355618829507
ieee69,5,20,20,21,0,1,0.0,0.0
ieee69,5,21,21,22,1,1,0.36396083103554133,0.25956078248118075
ieee69,5,22,22,23,1,1,0.3588751669055945,0.2562023250368828
ieee69,5,23,23,24,1,1,0.3588751669055945,0.2562023250368828
ieee69,5,24,24,25,1,1,0.33200750735116635,0.2370111396408614
ieee69,5,25,25,26,1,1,0.33200750735116635,0.2370111396408614
ieee69,5,26,26,27,1,1,0.31857367757394783,0.2274155469428507
ieee69,5,27,3,28,1,1,0.08779967318679915,0.062563264391029
ieee69,5,28,28,29,1,1,0.06285113217196603,0.044715461972728576
ieee69,5,29,29,30,1,1,0.037902591157141785,0.026867659554428158
ieee69,5,30,30,31,1,1,0.037902591157141785,0.026867659554428158
ieee69,5,31,31,32,1,1,0.037902591157141785,0.026867659554428158
ieee69,5,32,32,33,1,1,0.037902591157141785,0.026867659554428158
ieee69,5,33,33,34,1,1,0.024468761379923265,0.017272066856417467
ieee69,5,34,34,35,1,1,0.005757355618802862,0.003838237079207829
ieee69,5,35,3,36,1,1,1.0207632140219935,0.8311702395016685
ieee69,5,36,36,37,1,1,0.9958146730071693,0.813322437083368
ieee69,5,37,37,38,1,1,0.9708661319923362,0.7954746346650676
ieee69,5,38,38,39,1,1,0.9708661319923362,0.7954746346650676
ieee69,5,39,39,40,1,1,0.9478367095171158,0.7791621270784521
ieee69,5,40,40,41,1,1,0.9248072870418866,0.7628496194918366
ieee69,5,41,41,42,1,1,0.9236558159181296,0.7618900602220346
ieee69,5,42,42,43,1,1,0.9236558159181296,0.7618900602220346
ieee69,5,43,43,44,1,1,0.07522944675240062,0.05047281759153144
ieee69,5,44,44,45,1,1,0.07522944675240062,0.05047281759153144
ieee69,5,45,45,46,1,1,0.03761472337620475,0.02523640879577016
ieee69,5,46,4,47,1,1,0.7725674420482598,0.6500054493632312
ieee69,5,47,47,48,1,1,0.7725674420482598,0.6500054493632312
ieee69,5,48,48,49,1,1,0.6967622597339762,0.5958863065464559
ieee69,5,49,49,50,1,1,0.36249402125908325,0.33248728698606733
ieee69,5,50,8,51,1,1,0.04231656379822368,0.02974633736383403
ieee69,5,51,51,52,1,1,0.0034544133712799407,0.0025908100284599556
ieee69,5,52,9,53,1,1,0.052487892058117325,0.03809450301110573
ieee69,5,53,53,54,1,1,0.04836178719797246,0.03473604556679888
ieee69,5,54,54,55,1,1,0.02302942247522921,0.016504419440579454
ieee69,5,55,55,56,1,1,0.0,0.0
ieee69,5,56,56,57,1,1,0.0,0.0
ieee69,5,57,57,58,1,1,0.0,0.0
ieee69,5,58,58,59,0,1,0.0,0.0
ieee69,5,59,59,60,1,0,0.0,0.0
ieee69,5,60,60,61,1,1,0.0,0.0
